employee_id,effective_date,change_type,old_job_level,new_job_level,old_department,new_department,old_sub_department,new_sub_department,old_job_title,new_job_title,old_manager_id,new_manager_id
EMP-001,2020-01-15,Hire,,M5,,Executive,,,,CEO,,
EMP-002,2020-01-15,Hire,,M5,,Engineering,,(CTO),,CTO,,EMP-001
EMP-0020,2020-03-28,Hire,,IC4,,Customer Success,,Implementation,,Implementation Lead,,EMP-0022
EMP-0020,2022-09-28,Promotion,IC4,IC5,Customer Success,Customer Success,Implementation,Implementation,Implementation Lead,Principal Implementation Lead,EMP-0022,EMP-0022
EMP-0020,2022-09-28,Manager Change,IC5,IC5,Customer Success,Customer Success,Implementation,Implementation,Principal Implementation Lead,Principal Implementation Lead,EMP-0022,EMP-0037
EMP-0021,2020-01-16,Hire,,IC3,,Engineering,,Data,,Senior Data Engineer,,EMP-0028
EMP-0021,2021-10-10,Promotion,IC3,IC4,Engineering,Engineering,Data,Data,Senior Data Engineer,Staff Data Engineer,EMP-0028,EMP-0028
EMP-0021,2022-08-23,Manager Change,IC4,IC4,Engineering,Engineering,Data,Data,Staff Data Engineer,Staff Data Engineer,EMP-0028,EMP-0034
EMP-0021,2023-07-06,Promotion,IC4,IC5,Engineering,Engineering,Data,Data,Staff Data Engineer,Principal Data Engineer,EMP-0034,EMP-0034
EMP-0022,2020-01-24,Hire,,M1,,Customer Success,,CSM,,CS Manager,,EMP-019
EMP-0022,2022-08-27,Promotion,M1,M2,Customer Success,Customer Success,CSM,CSM,CS Manager,Senior CS Manager,EMP-019,EMP-019
EMP-0022,2022-08-27,Lateral Transfer,M2,M2,Customer Success,Customer Success,CSM,Implementation,Senior CS Manager,Senior CS Manager,EMP-019,EMP-019
EMP-0022,2022-08-27,Manager Change,M2,M2,Customer Success,Customer Success,Implementation,Implementation,Senior CS Manager,Senior CS Manager,EMP-019,EMP-010
EMP-0023,2020-01-16,Hire,,M1,,Engineering,,Infrastructure,,Engineering Manager,,EMP-002
