Title,Department,Job_Family,Job_Code,Level,Zone_A_Min_Salary,Zone_A_Mid_Salary,Zone_A_Max_Salary,Zone_B_Min_Salary,Zone_B_Mid_Salary,Zone_B_Max_Salary
Associate Software Engineer,Engineering,Platform,JK0001,P1,67100,79300,91500,63745,75335,86925
Software Engineer,Engineering,Platform,JK0002,P2,87840,103700,119560,83448,98515,113582
Senior Software Engineer,Engineering,Platform,JK0003,P3,115900,140300,164700,110105,133285,156465
Staff Software Engineer,Engineering,Platform,JK0004,P4,152500,183000,213500,144875,173850,202825
Principal Software Engineer,Engineering,Platform,JK0005,P5,201300,237900,274500,191235,226005,260775
Distinguished Software Engineer,Engineering,Platform,JK0006,P6,244000,292800,341600,231800,278160,324520
Platform Manager,Engineering,Platform,JK0007,M1,134200,164700,195200,127490,156465,185440
Senior Platform Manager,Engineering,Platform,JK0008,M2,170800,207400,244000,162260,197030,231800
"Director, Platform",Engineering,Platform,JK0009,M3,213500,256200,298900,202825,243390,283955
"Senior Director, Platform",Engineering,Platform,JK0010,M4,256200,317200,378200,243390,301340,359290
"VP, Platform",Engineering,Platform,JK0011,E1,317200,402600,488000,301340,382470,463600
"SVP, Engineering",Engineering,Platform,JK0012,E2,378200,475800,573400,359290,452010,544730
Chief Engineering Officer (E3),Engineering,Platform,JK0013,E3,427000,524600,622200,405650,498370,591090
Chief Engineering Officer,Engineering,Platform,JK0014,E4,463600,573400,683200,440420,544730,649040
Associate AI/ML Engineer,Engineering,AI/ML,JK0015,P1,67100,79300,91500,63745,75335,86925
AI/ML Engineer,Engineering,AI/ML,JK0016,P2,87840,103700,119560,83448,98515,113582
Senior AI/ML Engineer,Engineering,AI/ML,JK0017,P3,115900,140300,164700,110105,133285,156465
Staff AI/ML Engineer,Engineering,AI/ML,JK0018,P4,152500,183000,213500,144875,173850,202825
Principal AI/ML Engineer,Engineering,AI/ML,JK0019,P5,201300,237900,274500,191235,226005,260775
Distinguished AI/ML Engineer,Engineering,AI/ML,JK0020,P6,244000,292800,341600,231800,278160,324520
AI/ML Manager,Engineering,AI/ML,JK0021,M1,134200,164700,195200,127490,156465,185440
Senior AI/ML Manager,Engineering,AI/ML,JK0022,M2,170800,207400,244000,162260,197030,231800
"Director, AI/ML",Engineering,AI/ML,JK0023,M3,213500,256200,298900,202825,243390,283955
"Senior Director, AI/ML",Engineering,AI/ML,JK0024,M4,256200,317200,378200,243390,301340,359290
